"charge"	"convexhull_xCoor"	"convexhull_yCoor"	"id"	"intensity"	"overallquality"	"position_dim0"	"position_dim1"	"quality_dim0"	"quality_dim1"	"spectrum_index"	"spectrum_native_id"
2	3813.81	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3815.29	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3817	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3818.02	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3818.95	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3820.43	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3821.12	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3822.33	589.62	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3823.87	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3825.6	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3826.89	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3827.82	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3829.13	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3830.8	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3832.12	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3832.65	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3834.07	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3834.83	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
2	3836.44	589.75	"f_2444900193131259878"	5.49E+006	128295	3839.62	589.87	0	0	2764	14758
